Site,Total Compactions,12 AM - 6 AM,6 AM - 12 PM,12 PM - 6 PM,6 PM - 12 AM
BU #102 Student Health Services,2500,41,338,526,1595
BU #105 Kilachand Hall,1647,72,858,639,78
BU #108 Agganis Arena,6429,1541,1513,1364,2011
BU #18 - Warren Hall,8437,20,3043,3589,1785
BU #2 Student Village,13196,135,4130,5025,3906
BU #35 22 Babbit,5995,318,2005,1671,2001
BU #38 Life Sciences,13205,2047,2699,5065,3394
BU #4 Yawkey,5591,597,1331,2447,1216
BU #43 West Loading Dock,22844,742,9069,7266,5767
BU #46 30 Bay State,6216,387,1551,2579,1699
BU #48 Student Village #2,9800,8,1782,4031,3979
BU #69 - Graduate Apartments,2499,39,521,1262,677
BU #72 Rafik B Hariri,8685,979,1881,2788,3037
BU #82 Warren Towers 35,27428,2220,10235,8531,6442
BU #87 College of Engineering,15142,1450,4991,5616,3085
BU #90 - School of Law,4180,436,1224,1078,1442
BU #93 George Sherman Union,22571,229,5746,11617,4979
BU #96 808 Commonwealth,2889,122,1009,632,1126
BU 140 Bay State Rd,8392,181,4441,2732,1038
BU 685 Comm Ave,4503,1888,958,843,814
BU Fenway,6880,51,2562,2526,1741
BU MED - 15 Stoughton,7260,729,2512,3115,904
BU Med #815 Albany,982,0,793,189,0
BU Med 700,3445,140,1659,1499,147
Boston University - 120 ASHFORD,458,2,371,82,3
