,Linear regression,,Decision Tree Regressor,,Support Vector Regressor model,
Location,Mean Squared Error: ,R2 Score: ,Mean Squared Error: ,R2 Score: ,Mean Squared Error: ,R2 Score: 
BU #82 Warren Towers 35,67377.7331180751,0.0556986412461838,69109.9194139194,0.0314219878610945,74100.1375851558,-0.0385160997162746
BU 685 Comm Ave,100976.516048402,0.233205310386646,86001.527638191,0.346922262004064,101193.176907185,0.231560032826443
BU #87 College of Engineering,78854.7925924103,0.0473363979631158,3293.83729662078,0.960206364123717,81045.0889649751,0.0208749038266546
BU #108 Agganis Arena,130728.798081008,0.123984088834434,26532.1149773071,0.822207843886144,137521.0957206,0.078468786215586
BU #102 Student Health Services,229846.249010561,0.338282067108051,172392.421052632,0.503689283613482,330488.630850318,0.0485367736390004
BU #90 - School of Law,88341.6306385578,0.0719555829007386,74976.9928400955,0.212353461067177,88639.8807315468,0.0688224130498196
BU #35 22 Babbit,95327.0473616633,0.0641262927998133,9284.53731343284,0.908849014045354,99834.8969907191,0.019870459218398
BU #72 Rafik B Hariri,39883.9454972524,0.0435408561274097,24249.7746144721,0.418464788834417,41236.2034608535,0.0111122817214537
BU #48 Student Village #2,148228.055191439,0.0556698372372084,11504.5005045409,0.926707215986025,162215.439853557,-0.0334408862189211
BU MED - 15 Stoughton,11507.8978574742,0.135986960441621,4812.63977746871,0.638666976894513,12187.3657197957,0.0849725092988025
BU #38 Life Sciences,95935.7873106331,0.0615287266950016,34917.7662337662,0.658424437251302,100754.916724546,0.0143866262955678
BU #96 808 Commonwealth,79336.2321458321,0.058535393187572,66867.7293233083,0.206496214994304,82645.2417529984,0.0192681461241747
BU 140 Bay State Rd,115795.258312892,0.0653223706208361,46770.0100502513,0.622481241833876,141152.428404311,-0.139355955367
BU #2 Student Village,127073.726087659,0.0146828765273556,12790.1281669151,0.900826609227011,139178.27551007,-0.0791746043620882
BU #43 West Loading Dock,105729.658944952,0.0777626236383546,44344.4542996214,0.613201124475732,111131.642605892,0.0306432884553303
BU #93 George Sherman Union,82775.436720399,0.0675960985015921,4561.17234262126,0.948621776505606,92386.3356718558,-0.0406635499435715
BU #18 - Warren Hall,126664.12475022,0.0215493337462805,7535.3631840796,0.941791086130616,132025.620555149,-0.0198669643001814
BU Med 700,108457.661029349,0.11190125996387,61338.4761904762,0.497733743255286,121976.873751146,0.00120003636602861
BU Med #815 Albany,82560.993896015,0.149602117630089,47452.0,0.511233108881399,85832.642867581,0.115903354739933
BU #69 - Graduate Apartments,84195.8499744981,0.288560322412898,29582.303030303,0.750034899148386,89567.2422024476,0.243173031281521
BU #46 30 Bay State,159623.366825412,0.0759297145525318,11556.3064182195,0.933099773654803,164389.552218239,0.0483379503638793
BU Fenway,148890.768361113,0.0404665904053595,52497.8567901235,0.661675145633845,152265.656312564,0.0187169696686204
BU #4 Yawkey,96888.2731856199,0.152238778200231,90969.1428571429,0.204030486260176,104087.383530133,0.0892473925467439
BU Fenway,120358.891889297,0.0664316761988063,21926.3436123348,0.829927481618193,130250.119188119,-0.0102900046404577
BU #4 Yawkey,6135.54875804862,0.102901600365735,10376.6666666667,-0.517205946410821,6172.49481667227,0.0974995978112617
BU #93 George Sherman Union,6816.87096712792,0.238823943971658,2250.02985074627,0.748760266110969,6282.67633650056,0.29847244899005
BU #105 Kilachand Hall,211732.558604794,0.359139226014371,112856.470588235,0.658412076219886,324556.680254406,0.0176492142699891
